id,term,definition
card707,Double jeopardy only applies to __________ charges.,criminal
card708,Who enforces the Code of Ethics?,Each provincial or territorial association itself.
card709,Do the Codes of Ethics look exactly the same in every province?,"No, they vary slightly by region."
card710,What is the main use of the Code of Ethics?,To guide members when the right action is unclear.
card711,What is the term for taking action to lower or remove a hazard?,Risk mitigation.
card712,Failing to address a known hazard can lead to legal __________.,liability
card713,The OHS Act and Code of Ethics require you to __________ hazards.,address
card714,What does Level A - Entry Level require?,Work under the direct supervision of a licensed engineer
card715,Can you practice independently at Level D?,"Yes, but it's not the first level that allows independence."
card716,The portion of a loss the insured pays is known as the ________.,deductible
card717,A claim made by someone other than the insured or insurer is called a ________‐party claim.,third
card718,Errors and omissions are covered by ________ insurance.,liability
card719,________ insurance protects against claims by third parties for errors and omissions.,Liability
card720,What professional duty is signified by the seal?,Accountability for the accuracy and integrity of the work.
card721,What does sealing an engineering drawing communicate?,"That the engineer has checked, reviewed, and takes responsibility for the work."
card722,"For drawings with three different disciplines, how many seals are required?",Four seals: one per discipline plus one approving professional.
card723,The total number of seals equals the number of disciplines plus one ______ professional seal.,approving
card724,"When the authoring engineer refuses responsibility, the __________ engineer must seal.",overruling
card725,Who should seal a document when the original authoring engineer refuses to take responsibility for imposed changes?,The overruling engineer.
card726,Which professional rule mandates disclosure of stock holdings in a vendor?,The conflict‐of‐interest clause in the Code of Ethics.
card727,Does Kant's formalism consider how many people benefit?,No—only whether the action follows moral duty.
card728,Mill's Utilitarianism focuses on outcomes or the greatest ______.,happiness
card729,"In Kant's formalism, actions are judged by their underlying ______, not results or consequences.",motivation or principle
card730,Is it legal for an employer to lower pay after a worker refuses unsafe work?,No. Reducing pay in that situation is discrimination under the OHS Act.
card731,What must happen to a worker's benefits when they refuse unsafe work and are reassigned?,They must remain unchanged.
card732,What is a Regulation and how does it relate to an Act?,"A detailed set of instructions made under an Act, explaining how the Act's broad rules should be applied in specific situations."
card733,Persian translation of fraudulent,جعلی
card734,Persian translation of privileged,"( در مورد اطلاعات ) محرمانه، سرّی
معنی دوم: نازپرورده - ژن خوب"
card735,Persian translation of embezzlement,اختلاس
card736,Persian translation of influence peddling,زدوبند
card737,Persian translation of liable,"1 - مسئول. The law holds parents liable if a child does not attend schoolقانون والدین را در صورت عدم حضور کودک در مدرسه ""مسئول"" دانسته است.. If we lose the case we may be liable for the costs of the whole trialاگر ما پرونده را گم کنیم ، ممکن است در قبال هزینه های کل دادگاه ""مسئول"" باشیم.2 - احتمال داشتن ( برای اتفاقات معمولا منفی ). The areas of town near the river are liable to floodingمناطق شهر در نزدیکی رودخانه ""احتمال"" طغیان کردن دارد.. He's liable to make a fuss if you wake himاگر او را بیدار کنید احتمال دارد سر و صدا ایجاد کند."
card738,difference between voiding and breaching the contract,"✅ 1. Breaching a Contract (the simpler one)

A breach happens when one party breaks a valid contract.

The contract is real, legal, and enforceable…
…but someone fails to do what they promised.

Examples of breach:

A contractor doesn’t finish the work.

An engineer misses deadlines or delivers poor-quality work.

An owner doesn’t pay.

When a contract is breached, the innocent party can usually:

ask for damages (money),

end the contract,

or sometimes force performance.

Key idea:
The contract is valid, but someone broke it.

✅ 2. Voiding a Contract (very different)

To void a contract means the contract is treated as if it never legally existed at all.

It’s not “broken.”
It’s invalid — like a fake driver’s licence.

A contract may be void or voidable if:

one party was misled (misrepresentation)

there was no capacity (mental incapacity, minors)

there was duress or coercion

the subject of the contract is illegal

the contract is missing essential elements (like no consideration)

When a contract is void, nobody can enforce it.

Key idea:
A void contract is not legally real, so nobody can “breach” it.

🧠 Think of it like this:
Breach = The rulebook is valid, but a player broke the rules.
Void = The rulebook itself was fake or invalid from the start.
🌰 Nima-Friendly Analogy

Imagine you and a contractor sign a contract to build a deck at your house.

Scenario 1 — Breach (the contract is real):

Contractor agrees to build your deck but disappears halfway through.
He breached the contract.
You can sue him for damages because the contract was valid.

Scenario 2 — Void (the contract never legally existed):

The contractor turns out to be unlicensed, lied about qualifications, and forged documents to get the job.
Your contract is void — it’s like signing a deal with someone who pretended to be a doctor.
It was never valid from the beginning."
card739,,
